x_f/dx-theor.,P_q(x_f)-theor.,P_c(x_f)-theor.,x_f/dx-exp.,P_e(x_f),P_q(x_f)-exp.,S.E. of P_q(x_f)-exp.,P_c(x_f)-exp.,S.E. of P_c(x_f)-exp.
-1.21555,1.181627378,1.030184403,,,,,,
-1.1967,1.182016642,1.030184403,,,,,,
-1.17786,1.182399932,1.030184403,,,,,,
-1.15901,1.182777242,1.030184403,,,,,,
-1.14016,1.18314857,1.030184403,,,,,,
-1.12132,1.183513908,1.030184403,,,,,,
-1.10247,1.183873252,1.030184403,,,,,,
-1.08363,1.184226598,1.030184403,,,,,,
-1.06478,1.184573941,1.030184403,,,,,,
-1.04594,1.184915276,1.030184403,,,,,,
-1.02709,1.185250599,1.030184403,,,,,,
-1.00824,1.185579905,1.030184403,,,,,,
-0.9894,1.18590319,1.030184403,,,,,,
-0.97055,1.186220449,1.030184403,,,,,,
-0.95171,1.186531678,1.030184403,,,,,,
-0.93286,1.186836874,1.030184403,,,,,,
-0.91402,1.187136032,1.030184403,,,,,,
-0.89517,1.187429147,1.030184403,,,,,,
-0.87633,1.187716217,1.030184403,,,,,,
-0.85748,1.187997238,1.030184403,,,,,,
-0.83863,1.188272204,1.030184403,,,,,,
-0.81979,1.188541114,1.030184403,,,,,,
-0.80094,1.188803963,1.030184403,,,,,,
-0.7821,1.189060748,1.030184403,,,,,,
-0.76325,1.189311466,1.030184403,,,,,,
-0.74441,1.189556112,1.030184403,,,,,,
-0.72556,1.189794684,1.030184403,,,,,,
-0.70671,1.190027179,1.030184403,,,,,,
-0.68787,1.190253593,1.030184403,,,,,,
-0.66902,1.190473924,1.030184403,,,,,,
-0.65018,1.190688169,1.030184403,,,,,,
-0.63133,1.190896324,1.030184403,,,,,,
-0.61249,1.191098387,1.030184403,,,,,,
-0.59364,1.191294355,1.030184403,,,,,,
-0.57479,1.191484226,1.030184403,,,,,,
-0.55595,1.191667997,1.030184403,,,,,,
-0.5371,1.191845666,1.030184403,,,,,,
-0.51826,1.19201723,1.030184403,,,,,,
-0.49941,1.192182687,1.030184403,,,,,,
-0.48057,1.192342034,1.030184403,,,,,,
-0.46172,1.19249527,1.030184403,,,,,,
-0.44287,1.192642393,1.030184403,,,,,,
-0.42403,1.192783401,1.030184403,,,,,,
-0.40518,1.192918291,1.030184403,,,,,,
-0.38634,1.193047062,1.030184403,,,,,,
-0.36749,1.193169713,1.030184403,,,,,,
-0.34865,1.193286241,1.030184403,,,,,,
-0.3298,1.193396645,1.030184403,,,,,,
-0.31095,1.193500924,1.030184403,,,,,,
-0.29211,1.193599075,1.030184403,,,,,,
-0.27326,1.193691099,1.030184403,,,,,,
-0.25442,1.193776993,1.030184403,,,,,,
-0.23557,1.193856757,1.030184403,,,,,,
-0.21673,1.193930389,1.030184403,,,,,,
-0.19788,1.193997889,1.030184403,,,,,,
-0.17903,1.194059255,1.030184403,,,,,,
-0.16019,1.194114487,1.030184403,,,,,,
-0.14134,1.194163584,1.030184403,,,,,,
-0.1225,1.194206545,1.030184403,,,,,,
-0.10365,1.19424337,1.030184403,,,,,,
-0.08481,1.194274058,1.030184403,,,,,,
-0.06596,1.194298609,1.030184403,,,,,,
-0.04711,1.194317023,1.030184403,,,,,,
-0.02827,1.194329299,1.030184403,,,,,,
-0.00942,1.194335437,1.030184403,,,,,,
0.00942,1.194335437,1.030184403,,,,,,
0.02827,1.194329299,1.030184403,,,,,,
0.04711,1.194317023,1.030184403,,,,,,
0.06596,1.194298609,1.030184403,,,,,,
0.08481,1.194274058,1.030184403,,,,,,
0.10365,1.19424337,1.030184403,,,,,,
0.1225,1.194206545,1.030184403,,,,,,
0.14134,1.194163584,1.030184403,,,,,,
0.16019,1.194114487,1.030184403,,,,,,
0.17903,1.194059255,1.030184403,,,,,,
0.19788,1.193997889,1.030184403,,,,,,
0.21673,1.193930389,1.030184403,,,,,,
0.23557,1.193856757,1.030184403,,,,,,
0.25442,1.193776993,1.030184403,,,,,,
0.27326,1.193691099,1.030184403,,,,,,
0.29211,1.193599075,1.030184403,,,,,,
0.31095,1.193500924,1.030184403,,,,,,
0.3298,1.193396645,1.030184403,,,,,,
0.34865,1.193286241,1.030184403,,,,,,
0.36749,1.193169713,1.030184403,,,,,,
0.38634,1.193047062,1.030184403,,,,,,
0.40518,1.192918291,1.030184403,,,,,,
0.42403,1.192783401,1.030184403,,,,,,
0.44287,1.192642393,1.030184403,,,,,,
0.46172,1.19249527,1.030184403,,,,,,
0.48057,1.192342034,1.030184403,,,,,,
0.49941,1.192182687,1.030184403,,,,,,
0.51826,1.19201723,1.030184403,,,,,,
0.5371,1.191845666,1.030184403,,,,,,
0.55595,1.191667997,1.030184403,,,,,,
0.57479,1.191484226,1.030184403,,,,,,
0.59364,1.191294355,1.030184403,,,,,,
0.61249,1.191098387,1.030184403,,,,,,
0.63133,1.190896324,1.030184403,,,,,,
0.65018,1.190688169,1.030184403,,,,,,
0.66902,1.190473924,1.030184403,,,,,,
0.68787,1.190253593,1.030184403,,,,,,
0.70671,1.190027179,1.030184403,,,,,,
0.72556,1.189794684,1.030184403,,,,,,
0.74441,1.189556112,1.030184403,,,,,,
0.76325,1.189311466,1.030184403,,,,,,
0.7821,1.189060748,1.030184403,,,,,,
0.80094,1.188803963,1.030184403,,,,,,
0.81979,1.188541114,1.030184403,,,,,,
0.83863,1.188272204,1.030184403,,,,,,
0.85748,1.187997238,1.030184403,,,,,,
0.87633,1.187716217,1.030184403,,,,,,
0.89517,1.187429147,1.030184403,,,,,,
0.91402,1.187136032,1.030184403,,,,,,
0.93286,1.186836874,1.030184403,,,,,,
0.95171,1.186531678,1.030184403,,,,,,
0.97055,1.186220449,1.030184403,,,,,,
0.9894,1.18590319,1.030184403,,,,,,
1.00824,1.185579905,1.030184403,,,,,,
1.02709,1.185250599,1.030184403,,,,,,
1.04594,1.184915276,1.030184403,,,,,,
1.06478,1.184573941,1.030184403,,,,,,
1.08363,1.184226598,1.030184403,,,,,,
1.10247,1.183873252,1.030184403,,,,,,
1.12132,1.183513908,1.030184403,,,,,,
1.14016,1.18314857,1.030184403,,,,,,
1.15901,1.182777242,1.030184403,,,,,,
1.17786,1.182399932,1.030184403,,,,,,
1.1967,1.182016642,1.030184403,,,,,,
