j,"S_th(0,0)","S_exp(0,0)-M","S_exp(0,0)-SD","S_th(-10,10)","S_exp(-10,10)-M","S_exp(-10,10)-SD","S_th(15,-15)","S_exp(15,-15)-M","S_exp(15,-15)-SD",j_subfigure,"S_subfigure(0,0)","S_subfigure(-10,10)","S_subfigure(15,-15)"
530001 ,0.39675 ,0.38325 ,0.01544 ,0.57859 ,0.61368 ,0.02100 ,0.83207 ,0.90274 ,0.01092 ,54,0.03410 ,0.18309 ,0.48051 
540001 ,0.39675 ,0.46802 ,0.03124 ,0.58411 ,0.56975 ,0.02193 ,0.83758 ,0.92665 ,0.00607 ,55,0.02067 ,0.17913 ,0.47354 
550001 ,0.40226 ,0.44262 ,0.02171 ,0.58411 ,0.54856 ,0.01403 ,0.84309 ,0.89597 ,0.00088 ,56,0.03097 ,0.17884 ,0.47970 
560001 ,0.40226 ,0.49162 ,0.02202 ,0.58961 ,0.54776 ,0.00887 ,0.84309 ,0.90938 ,0.00795 ,57,0.01485 ,0.18684 ,0.48945 
570001 ,0.40777 ,0.43191 ,0.01361 ,0.58961 ,0.55005 ,0.02902 ,0.84860 ,0.91939 ,0.03566 ,58,0.02445 ,0.18822 ,0.48614 
580001 ,0.40777 ,0.44220 ,0.00462 ,0.59512 ,0.58008 ,0.00206 ,0.85411 ,0.93794 ,0.01718 ,59,0.01711 ,0.18177 ,0.49273 
590001 ,0.41328 ,0.40601 ,0.00875 ,0.59512 ,0.55599 ,0.00660 ,0.85411 ,0.91087 ,0.02296 ,60,0.01589 ,0.19220 ,0.49486 
600001 ,0.41879 ,0.40577 ,0.02256 ,0.60063 ,0.55795 ,0.01780 ,0.85962 ,0.90150 ,0.03176 ,61,0.02548 ,0.19358 ,0.48814 
610001 ,0.41879 ,0.37690 ,0.02678 ,0.60063 ,0.61644 ,0.01339 ,0.86513 ,0.92704 ,0.01736 ,62,-0.00902 ,0.18630 ,0.48866 
620001 ,0.41879 ,0.39477 ,0.02169 ,0.60614 ,0.57740 ,0.00815 ,0.86513 ,0.98939 ,0.01646 ,63,-0.00695 ,0.18768 ,0.48220 
